label,text
0,@淘宝 #天猫双十一成交总额4982亿#谢谢有你！给参与了千亿大项目的你回回血！关?转，揪一个小可爱送6666元回血红包[打call] ? http://t.cn/A6GX8eb9 ??
0,@游研社 腾讯官方发了这么个视频……#3人伪造老干妈印章与腾讯签合同#  http://t.cn/A6y7vg3c ??
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
1, 
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
1, 
0,@新剧不能停 《乘风破浪的姐姐》开场秀！——#李宇春姐姐们开场走秀好像维密# 李宇春《无价之姐》+30位姐姐T台秀，这是李宇春的《无价之姐》舞台首秀！也是春春第一次开场秀（通常春春都是压轴的[笑cry][笑cry]）！ #乘风破浪的姐姐成团之夜# http://t.cn/A64fcHI8 ??
1,@娱是乎 #乘风破浪的姐姐# 金晨、伊能静、张含韵这三位“姐姐”的表情，心情似乎一目了然啊？《乘风破浪的姐姐》成团之夜，李斯丹妮组晋级4个名额，最后只剩下金晨、伊能静和张含韵。当她们组最后一个名额——万茜领完奖后，镜头转向了剩下的这三位“姐姐”时，有一个镜头就是这样。金晨在发自内心地开心鼓掌，伊能静在强颜欢笑，张含韵眉眼间似乎充满了“意难平”！其实张含韵的综合能力并不弱，而且自从第七期节目“个人积分战”不负队长张雨绮的厚望，以147分的好成绩夺得了第一名之后，她的人气也冲上来了。然而没想到她们组的一直人气
0,@乘风破浪的姐姐 【#乘风破浪的姐姐#成团之夜】总决赛公演上姐姐们的那首《逆战》得到了原唱@张杰 的大力赞扬，这次他带着对姐姐们祝福来到了现场，重现了这一首超有气势的歌，献给勇往直前的姐姐们，全场的气氛都被带动，你是不是也沸腾了呢？ http://t.cn/A64fi8jJ ??
1,@虎嗅APP 【贵阳警方：3人伪造老干妈印章与腾讯签订合同，已刑拘】今日，贵阳警方通报有人伪造老干妈公司印章，冒充该公司市场经营部经理，与腾讯公司签约合作协议，其目的是为了获取腾讯公司在推广活动中配套赠送的网络游戏礼包码，之后通过互联网倒卖非法获取经济利益，现已被刑拘。此前，腾讯状告老干妈欠广告费，老干妈称腾讯遭遇诈骗。 #3人伪造老干妈印章与腾讯签合同#
0,@吃土少女风格纪 #3人伪造老干妈印章与腾讯签合同# 假老干妈公司一手激起了BAT三家互联网公司。没想到2020年的商战故事这么的搞笑……市值全国数一数二的公司，互联网三巨头，食品界隐形冠军，因为三个骗子、一个假印章引发混乱，微博上互相嘲笑互相脱罪。这“商战”一点都不高大上啊[doge][doge][doge] 更搞笑的是，三个骗子骗的是腾讯赠的游戏礼包码………………………………
0,@CrazyBasketball 【盘点2020年NBA总决赛的精彩瞬间！】詹姆斯跟浓眉哥的双核配合！热火队的顽强抵抗，巴特勒在系列赛的硬气表现！随着终场哨音响起的一瞬间，在这个跌宕起伏的赛季，经历一波三折的旅程，湖人终于再次夺下总冠军！有很多值得回味的瞬间！ #詹姆斯fmvp# #湖人总冠军# #NBA经典回顾# #湖人vs热火# http://t.cn/A6b9pdsG
1,@乘风破浪的姐姐 #乘风破浪的姐姐#成团之夜彩排直击：黑色帽子遮不住的帅气，姿势一摆，气势就来@阿云嘎Musical 准备了什么“大招”？[馋嘴] ??
0,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
1, 
1,@乘风破浪的姐姐 排了2个月队终于从法国回来了，还有不认识的姐姐就到现场认个全吧！@卡布叻_周深?一起飙长音吗？海豚音的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64tKsKi  20:00成团之夜湖南娱乐频道&芒果TV现场同步直播！ ??
0,@北京人不知道的北京事儿 【#汉堡王用过期面包做汉堡#，鸡腿排保质期随意改[衰]】#315晚会#接到内幕人士举报，汉堡王的标准在实际执行中，存在严重问题。在南昌市汉堡王红谷滩天虹店，记者发现在制作汉堡的过程中，员工煞费心机地操作，就为了少放一片西红柿，或者一片芝士。随着调查的深入，记者的发现更加令人震惊。当班经理发现面包到期后，很自然地吩咐员工更换标签。员工将这批汉堡上旧的标签撕掉，换上了新的标签。第二天记者发现，这批过了保质期的面包被陆续拿出来，做成汉堡卖给了顾客。即便到了食物容易发霉变质的夏天，保质期
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
