text,label
转发微博 ,0
转发微博 ,0
【全国文明城市名单新鲜出炉 你所在的城市上榜了吗？】11月10日，中国文明网发布《第六届全国文明城市入选城市名单和复查确认保留荣誉称号的前五届全国文明城市名单》 你所在的城市上榜了吗？快来看 http  t cn/A6GiKLHM ???,1
【第一  济南再获全国文明城市荣誉称号  】2020年11月10日，中央文明委公布第六届全国文明城市名单和复查确认继续保留荣誉称号的往届全国文明城市名单，济南市再获全国文明城市荣誉称号 中央文明办公布第六届全国文明城市入选城市名单和复查确认保留荣誉称号的前五届全国文明城市名单党的十八大以来，全国各地坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻习近平总书记关于加强社会主义精神文明建设的重要指示精神，增强“四个意识”，坚定“四个自信”，做到“两个维护”，大力培育和践行社会主义核 价值观，着力培养担当民族复兴大任的时代新人，着力弘扬共筑美好生活梦想的时代新风，不断提升市民文明素质 城市文明程度 城市文化品位 群众生活质量，不断提高城市治理能力和治理水平，努力建设崇德向善 文化厚重 和谐宜居 人民满意的文明城市，涌现出一批工作基础扎实 创建成效突出 群众满意认可 在全国具有示范作用的先进典型 为全面展示文明城市创建丰硕成果，示范带动各地推进城市物质文明和精神文明协调发展，中央文明委今年评选表彰第六届全国文明城市，并对前五届全国文明城市进行复查 2020年8月以来，中央文明办按照城市自主申报 省级择优推荐 中央部委审核 媒体集中公示 组织综合测评 确定入选城市等评选办法和程序，严谨规范组织第六届全国文明城市评选工作，严格依据参评城市2018 2019 2020年三年测评总成绩排名，提出第六届全国文明城市入选城市名单，报中央文明委领导同志批准 同时，中央文明办按照城市自查 省级审核 中央把关 组织测评等复查办法和程序，认真做好前五届全国文明城市复查工作，严格依据全国文明城市复查测评成绩，提出继续保留荣誉称号的全国文明城市名单，报中央文明委领导同志批准 现将第六届全国文明城市入选城市名单和复查确认保留荣誉称号的前五届全国文明城市名单公布如下   一 第六届全国文明城市入选城市名单（133个）  省会城市（2个）：云南省昆明市 甘肃省兰州市   直辖市城区（12个）：上海市闵行区 天津市西青区 天津市北辰区 上海市崇明区 天津市滨海新区 重庆市合川区 上海市松江区 上海市金山区 上海市青浦区 重庆市沙坪坝区 重庆市涪陵区 北京市延庆区   地级市（40个）：湖北省十堰市 江苏省盐城市 浙江省金华市 浙江省衢州市 山东省济宁市 陕西省延安市 江苏省淮安市 山东省泰安市 浙江省舟山市 四川省德阳市 广东省肇庆市 江苏省连云港市 安徽省滁州市 河南省焦作市 江西省萍乡市 云南省普洱市 湖北省鄂州市 河南省漯河市 河北省廊坊市 河南省南阳市 湖北省荆门市 吉林省吉林市 广西壮族自治区桂林市 四川省自贡市 四川省眉山市 安徽省黄山市 湖南省郴州市 山西省晋城市 云南省曲靖市 河南省信阳市 安徽省宿州市 陕西省铜川市 四川省宜宾市 贵州省六盘水市 河南省商丘市 湖南省娄底市 福建省宁德市 江西省景德镇市 山西省忻州市 安徽省阜阳市   县级市和县（79个）：浙江省德清县 安徽省金寨县 吉林省延吉市 山东省曲阜市 河南省林州市 江苏省邳州市 江苏省启东市 河北省大厂回族自治县 浙江省慈溪市 江苏省海安市 浙江省嘉善县 江苏省昆山市 安徽省广德市 浙江省海盐县 浙江省平湖市 浙江省安吉县 江西省宜丰县 湖北省枝江市 河南省新安县 安徽省宁国市 山东省新泰市 湖南省宁乡市 山西省静乐县 湖北省竹山县 四川省都江堰市 安徽省歙县 四川省米易县 江苏省句容市 浙江省临海市 浙江省建德市 陕西省彬州市 河南省平舆县 广东省德庆县 福建省上杭县 贵州省凯里市 山西省古县 江西省玉山县 江苏省太仓市 江苏省如东县 四川省阆中市 浙江省义乌市 陕西省吴起县 浙江省嵊州市 吉林省通化县 内蒙古自治区杭锦旗 河北省文安县 河南省柘城县 江苏省靖江市 贵州省仁怀市 山东省肥城市 山东省青州市 湖北省丹江口市 山东省昌邑市 重庆市巫溪县 云南省景洪市 黑龙江省桦南县 福建省福清市 山西省长子县 广东省仁化县 山西省沁水县 河南省汝州市 吉林省集安市 云南省石林彝族自治县 河北省遵化市 山东省诸城市 四川省江油市 云南省楚雄市 河南省兰考县 江西省芦溪县 江西省大余县 江苏省高邮市 湖南省湘潭县 广西壮族自治区北流市 青海省玉树市 云南省澄江市 福建省德化县 新疆维吾尔自治区博乐市 安徽省桐城市 河南省新县   二 复查确认保留荣誉称号的前五届全国文明城市名单（151个）  省会（首府） 副省级城市（24个）：山东省济南市 浙江省宁波市 江苏省南京市 广东省广州市 浙江省杭州市 山东省青岛市 福建省厦门市 湖北省武汉市 河北省石家庄市 广东省深圳市 湖南省长沙市 江西省南昌市 贵州省贵阳市 四川省成都市 辽宁省沈阳市 海南省海口市 青海省西宁市 宁夏回族自治区银川市 安徽省合肥市 辽宁省大连市 河南省郑州市 黑龙江省哈尔滨市 福建省福州市 吉林省长春市   直辖市城区（16个）：上海市嘉定区 上海市徐汇区 上海市静安区 上海市奉贤区 上海市浦东新区 上海市长宁区 重庆市渝北区 天津市和平区 重庆市南岸区 天津市河西区 重庆市江北区 北京市海淀区 北京市西城区 北京市东城区 北京市通州区 北京市朝阳区   地级市（64个）：浙江省湖州市 江苏省宿迁市 江苏省徐州市 江苏省泰州市 四川省遂宁市 四川省绵阳市 河南省许昌市 浙江省丽水市 江苏省常州市 辽宁省鞍山市 浙江省台州市 江苏省扬州市 江西省赣州市 河南省濮阳市 河南省驻马店市 安徽省宣城市 贵州省遵义市 四川省泸州市 山东省日照市 江西省吉安市 江苏省苏州市 湖南省湘潭市 湖南省常德市 宁夏回族自治区石嘴山市 河北省唐山市 山西省长治市 山东省威海市 陕西省咸阳市 福建省龙岩市 湖南省株洲市 湖北省宜昌市 安徽省芜湖市 安徽省蚌埠市 安徽省安庆市 福建省三明市 河南省洛阳市 湖南省岳阳市 甘肃省嘉峪关市 四川省广安市 山东省淄博市 江苏省镇江市 内蒙古自治区鄂尔多斯市 河南省新乡市 安徽省淮北市 安徽省铜陵市 广东省佛山市 浙江省绍兴市 山东省烟台市 河北省秦皇岛市 山东省潍坊市 山东省东营市 辽宁省盘锦市 广东省中山市 江苏省南通市 福建省莆田市 广东省东莞市 福建省漳州市 浙江省嘉兴市 安徽省马鞍山市 甘肃省金昌市 山东省临沂市 广东省珠海市 浙江省温州市 广东省惠州市   县级市和县（47个）：山东省胶州市 安徽省当涂县 江苏省江阴市 江苏省张家港市 江苏省常熟市 吉林省梅河口市 河北省迁安市 云南省安宁市 浙江省桐庐县 江西省南昌县 江苏省如皋市 浙江省诸暨市 江苏省溧阳市 广东省四会市 山东省寿光市 山东省莱州市 山东省荣成市 湖南省韶山市 河北省正定县 河南省巩义市 浙江省长兴县 安徽省天长市 江苏省宜兴市 河南省永城市 广东省龙门县 山东省龙口市 云南省腾冲市 山东省乳山市 河南省长垣市 湖北省大冶市 内蒙古自治区鄂托克前旗 福建省沙县 内蒙古自治区准格尔旗 河南省济源市 陕西省志丹县 浙江省瑞安市 陕西省凤县 浙江省余姚市 海南省琼海市 吉林省敦化市 河南省西峡县 湖北省宜都市 新疆维吾尔自治区库尔勒市 广东省博罗县 福建省石狮市 福建省武平县 江苏省丹阳市   三 对复查测评成绩排名靠前的33个全国文明城市（区）通报表扬  省会 副省级城市（10个）：山东省济南市 浙江省宁波市 江苏省南京市 广东省广州市 浙江省杭州市 山东省青岛市 福建省厦门市 湖北省武汉市 河北省石家庄市 广东省深圳市   直辖市城区（3个）：上海市嘉定区 上海市徐汇区 上海市静安区   地级市（10个）：浙江省湖州市 江苏省宿迁市 江苏省徐州市 江苏省泰州市 四川省遂宁市 四川省绵阳市 河南省许昌市 浙江省丽水市 江苏省常州市 辽宁省鞍山市   县级市和县（10个）：山东省胶州市 安徽省当涂县 江苏省江阴市 江苏省张家港市 江苏省常熟市 吉林省梅河口市 河北省迁安市 云南省安宁市 浙江省桐庐县 江西省南昌县 ,1
转发微博 ,0
[太阳]  亚尼大帝 是误会就好 好人得有好报  一颗阿仙仙仙    法医秦明  是误会，挺好的，希望处处有阳光  ,0
转发微博 ,0
私生子？  我不是谦哥儿   饼干姐  今天早上听广播，主持人明里暗里点评：这两口子，啊不，这个男人和女人，可能在某些方面有难言之隐，要是被公开了可能有麻烦 现在驾驶的违章被消掉了，那我们尊重这个男人和女人的隐私吧   林六月  不存在拐卖，那还有啥不方便出来做个证的？ ,0
[话筒][话筒][话筒] ,0
【喜报 112个检察院获全国文明单位称号】11月20日，中央文明委隆重表彰第六届全国文明城市 文明村镇 文明单位 第二届全国文明校园 文明家庭和新一届未成年人思想道德建设先进典型 共有112个检察院获得全国文明单位称号，3个集体获得全国未成年人思想道德建设工作先进单位称号， 2名检察官获得全国未成年人思想道德建设工作先进工作者称号  http  t cn/A6GHogUp,1
